variety_name,detail_url,jina,zao,crop_common,crop_scientific,crop_full_name,mwaka_usajili,registrant,altitude_range,altitude_min,altitude_max,suitable_regions,grain_yield,grain_yield_min,grain_yield_max,distinctive_characters,days_to_tasseling,plant_height_cm,grain_size,stem_colour,additional_fields
Arumeru,https://www.tosci.go.tz/seed-varieties/arumeru,Arumeru,Ethiopian mustard (Brasica carinata),Ethiopian mustard,Brasica carinata,Ethiopian mustard (Brasica carinata),2011,HORTI-Tengeru,0-1700,0.0,1700.0,"Mbeya, Iringa, Rukwa, Arusha, Kilimanjaro",40-80,40.0,80.0,Maturity 21-28 days,,,,,"{""Special Attributes"": ""Long harvest period, Late flowering""}"
ARUSHA RZ,https://www.tosci.go.tz/seed-varieties/arusha-rz,ARUSHA RZ,Letuce (Lactuca sativa  ),Letuce,Lactuca sativa,Letuce (Lactuca sativa  ),2021,Rijk Zwaan Afrisem Ltd.,,,,,,,,,,,,,{}
ASALI F1,https://www.tosci.go.tz/seed-varieties/asali-f1,ASALI F1,Watermelon  (Citrullus lanatus    ),Watermelon,Citrullus lanatus,Watermelon  (Citrullus lanatus    ),2021,REGINA SEED LTD,,,,,,,,,,,,,{}
Asante,https://www.tosci.go.tz/seed-varieties/asante,Asante,Round Potato (Solanum tuberosum),Round Potato,Solanum tuberosum,Round Potato (Solanum tuberosum),2012,Horti - Tengeru,1200-2900,1200.0,2900.0,All areas grown iround potato,20-30,20.0,30.0,,,,,,"{""Special Attributes"": ""Resistant to late blight and lodging""}"
ASHLEY,https://www.tosci.go.tz/seed-varieties/ashley,ASHLEY,Cucumber (Cucumis sativus  ),Cucumber,Cucumis sativus,Cucumber (Cucumis sativus  ),2021,Pop Vriend (T) Ltd.,,,,,,,,,,,,,{}
ASPEC1,https://www.tosci.go.tz/seed-varieties/aspec-1,ASPEC1,Papai,Papai,,Papai,2025,MKULIMA (ASPEC),,,,,,,,,,,,,{}
ASPEC2,https://www.tosci.go.tz/seed-varieties/aspec-2,ASPEC2,Papai,Papai,,Papai,2025,MKULIMA (ASPEC),,,,,,,,,,,,,{}
ASPEC3,https://www.tosci.go.tz/seed-varieties/aspec-3,ASPEC3,Papai,Papai,,Papai,2025,MKULIMA (ASPEC),,,,,,,,,,,,,{}
ASSILA F1,https://www.tosci.go.tz/seed-varieties/assila-f1,ASSILA F1,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2021,Monsanto Tanzania Ltd,,,,,,,,,,,,,{}
ASTRA F1,https://www.tosci.go.tz/seed-varieties/astra-f1,ASTRA F1,Tomato,Tomato,,Tomato,2025,PRIME SEED CO(PRIVATE) LIMITED,,,,,,,,,,,,,{}
Atlanta CS,https://www.tosci.go.tz/seed-varieties/atlanta-cs,Atlanta CS,Carrot (Daucus carota),Carrot,Daucus carota,Carrot (Daucus carota),2024,Continental Seeds,,,,,,,,,,,,,{}
AUGUSTA,https://www.tosci.go.tz/seed-varieties/augusta,AUGUSTA,Watermelon  (Citrullus lanatus    ),Watermelon,Citrullus lanatus,Watermelon  (Citrullus lanatus    ),2021,Syngenta Tanzania Ltd.,,,,,,,,,,,,,{}
AURORA,https://www.tosci.go.tz/seed-varieties/aurora,AURORA,Callery (Pyrus calleryana  ),Callery,Pyrus calleryana,Callery (Pyrus calleryana  ),2021,Pop Vriend (T) Ltd.,,,,,,,,,,,,,{}
AVPP1342,https://www.tosci.go.tz/seed-varieties/avpp1342-2,AVPP1342,Sweet pepper (Capsicum annuum),Sweet pepper,Capsicum annuum,Sweet pepper (Capsicum annuum),2022,Meru Agro-Tours LTD,,,,,,,,,,,,,{}
AVTO 1890,https://www.tosci.go.tz/seed-varieties/avto-1890,AVTO 1890,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2022,MERU AGRO TOURS LTD,,,,,,,,,,,,,{}
AVTO1864,https://www.tosci.go.tz/seed-varieties/avto1864,AVTO1864,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2022,MERU AGRO TOURS LTD,,,,,,,,,,,,,{}
AZA 17,https://www.tosci.go.tz/seed-varieties/aza-17,AZA 17,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2006,ARI Naliendele,0-800,0.0,800.0,"Pwani, Mtwara, Lindi",47,47.0,,"Apple shape: conical,Apple colour: yellow,Nut shape: elongated",,,,,"{""Special Attributes"": ""Resistant to Powdery mildew, Anthracnose, and Die back""}"
AZA 17/156,https://www.tosci.go.tz/seed-varieties/aza-17-156,AZA 17/156,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2006,ARI Naliendele,0-800,0.0,800.0,"Pwani, Mtwara, Lindi",62,62.0,,"Apple colour: orange ,Apple shape: round",,,,,"{""Special Attributes"": ""Resistant to Powdery mildew, Anthracnose, and Die back""}"
AZA 17/158,https://www.tosci.go.tz/seed-varieties/aza-17-158,AZA 17/158,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2006,ARI Naliendele,0-800,0.0,800.0,"Pwani, Mtwara, Lindi",14,14.0,,"Dark brown flushes,Apples shape: Conical,Apple colour: yellow",,,,,"{""Special Attributes"": ""Resistant to Powdery mildew, Anthracnose, and Die back""}"
AZA 17/79,https://www.tosci.go.tz/seed-varieties/aza-17-79,AZA 17/79,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2006,ARI Naliendele,0-800,0.0,800.0,"Pwani, Mtwara, Lindi",14,14.0,,"Apple colour: yellow ,Nut shape: flattened,Nut apex shape: round",,,,,{}
AZA 2,https://www.tosci.go.tz/seed-varieties/aza-2,AZA 2,Cashew (Anacardium occidentale L.),Cashew,Anacardium occidentale L.,Cashew (Anacardium occidentale L.),2006,ARI Naliendele,0-800,0.0,800.0,"Pwani, Mtwara, Lindi",49,49.0,,"Growth habit: semi dwarf tree,Apple colour: greenish yellow at harvesting maturity,Apple shape: conical",,,,,"{""Special Attributes"": ""Resistant to Powdery mildew, Anthracnose, and Die back""}"
Azimio 87,https://www.tosci.go.tz/seed-varieties/azimio-87,Azimio 87,Wheat (Triticum aestivum.L),Wheat,Triticum aestivum.L,Wheat (Triticum aestivum.L),1987,ARI Selian,1200-1800,1200.0,1800.0,"Arusha, Manyara, Iringa, Mbeya",1.8-3.0,1.8,3.0,"Growth habit: erect, Flag leaf altitude: erect, Culm glaucosity: strong, Spike density: strong, Awns: strong, Glume pubescence, Plant height: 80 cm, Awn colour: white, pike attitude: inclined, Kernel colour:white, Kernel shape: semi-elongated",,80.0,,,"{""Special Attributes"": ""Resistant to stem, leaf and yellow rusts.""}"
Bahati F1,https://www.tosci.go.tz/seed-varieties/bahati-f1,Bahati F1,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2024,Agrichem Africa Tanzania Ltd,,,,,,,,,,,,,{}
Balash F1,https://www.tosci.go.tz/seed-varieties/balash-f1,Balash F1,Cabbage (Brassica oleracea var. capitata),Cabbage,Brassica oleracea var. capitata,Cabbage (Brassica oleracea var. capitata),2024,Best Agricultural Practices Tanzania Organization,,,,,,,,,,,,,{}
BALLERINA RZ,https://www.tosci.go.tz/seed-varieties/ballerina-rz,BALLERINA RZ,Letuce (Lactuca sativa  ),Letuce,Lactuca sativa,Letuce (Lactuca sativa  ),2021,Rijk Zwaan Afrisem Ltd.,,,,,,,,,,,,,{}
Bansal F1,https://www.tosci.go.tz/seed-varieties/bansal-f1,Bansal F1,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2023,Epinav Agricultural Solution,,,,,,,,,,,,,{}
BARAKA F1,https://www.tosci.go.tz/seed-varieties/baraka-f1,BARAKA F1,Cabbage (Brassica oleracea var. capitata  ),Cabbage,Brassica oleracea var. capitata,Cabbage (Brassica oleracea var. capitata  ),2021,East African Seeds (T) Ltd.,,,,,,,,,,,,,{}
BARIDI F1,https://www.tosci.go.tz/seed-varieties/baridi-f1,BARIDI F1,Cabbage,Cabbage,,Cabbage,2025,ACSEN AGRISCIENCE (TZ) P LTD,,,,,,,,,,,,,{}
BARONESA RZ F1,https://www.tosci.go.tz/seed-varieties/baronesa-rz-f1,BARONESA RZ F1,Watermelon  (Citrullus lanatus    ),Watermelon,Citrullus lanatus,Watermelon  (Citrullus lanatus    ),2021,Rijk Zwaan Afrisem Ltd.,,,,,,,,,,,,,{}
BASHAER,https://www.tosci.go.tz/seed-varieties/bashaer,BASHAER,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2021,Syngenta Tanzania Ltd,,,,,,,,,,,,,{}
BATAVIA,https://www.tosci.go.tz/seed-varieties/batavia,BATAVIA,Letuce (Lactuca sativa  ),Letuce,Lactuca sativa,Letuce (Lactuca sativa  ),2021,OSHO CHEMICALS,,,,,,,,,,,,,{}
BAWITO F1,https://www.tosci.go.tz/seed-varieties/bawito-f1,BAWITO F1,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2021,East African Seeds (T) Ltd,,,,,,,,,,,,,{}
BAXTER F1,https://www.tosci.go.tz/seed-varieties/baxter-f1,BAXTER F1,Cabbage (Brassica oleracea var. capitata  ),Cabbage,Brassica oleracea var. capitata,Cabbage (Brassica oleracea var. capitata  ),2021,SEEDCO TZ Ltd.,,,,,,,,,,,,,{}
BE 101 IS F1,https://www.tosci.go.tz/seed-varieties/be-101-is-f1,BE 101 IS F1,Beet root (Beta vulgaris L ),Beet root,Beta vulgaris L,Beet root (Beta vulgaris L ),2021,INDAF SEED &TECHNOLOGY,,,,,,,,,,,,,{}
BE 102 IS F1,https://www.tosci.go.tz/seed-varieties/be-102-is-f1,BE 102 IS F1,Beet root (Beta vulgaris L ),Beet root,Beta vulgaris L,Beet root (Beta vulgaris L ),2021,INDAF SEED &TECHNOLOGY,,,,,,,,,,,,,{}
BEKI F1.,https://www.tosci.go.tz/seed-varieties/beki-f1,BEKI F1.,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2021,East African Seeds (T) Ltd,,,,,,,,,,,,,{}
Belinde,https://www.tosci.go.tz/seed-varieties/belinde,Belinde,Cassava  (Manihot spp.),Cassava,Manihot spp.,Cassava  (Manihot spp.),2009,ARI-Ukiriguru,900-1800,900.0,1800.0,"Mwanza, Kagera, Shinyanga, Mara, Kigoma, Tabora",16-23,16.0,23.0,,,,,,"{""Special Attributes"": ""Resistant to CMD and CBSD""}"
Bella F1,https://www.tosci.go.tz/seed-varieties/bella-f1,Bella F1,Sweet pepper (Capsicum annum L.),Sweet pepper,Capsicum annum L.,Sweet pepper (Capsicum annum L.),2023,Epinav Agricultural Solution,,,,,,,,,,,,,{}
Benue F1,https://www.tosci.go.tz/seed-varieties/rijkzwaan-afrisem,Benue F1,African eggplant (Solanum melongena),African eggplant,Solanum melongena,African eggplant (Solanum melongena),2024,RijkZwaan Afrisem,,,,,,,,,,,,,{}
BETA F1,https://www.tosci.go.tz/seed-varieties/beta-f1,BETA F1,Onion (Allium cepa L  ),Onion,Allium cepa L,Onion (Allium cepa L  ),2022,SYOVA SEEDS (T) LTD,,,,,,,,,,,,,{}
BIG BELL,https://www.tosci.go.tz/seed-varieties/big-bell,BIG BELL,Sweet pepper (Capsicum annuum),Sweet pepper,Capsicum annuum,Sweet pepper (Capsicum annuum),2021,East African Seeds (T) Ltd,,,,,,,,,,,,,{}
BILFA 16,https://www.tosci.go.tz/seed-varieties/bilfa-16,BILFA 16,Bean (Phaseolus vulgaris L.),Bean,Phaseolus vulgaris L.,Bean (Phaseolus vulgaris L.),2004,ARI Uyole,1000-1900,1000.0,1900.0,"Mbeya, Iringa, Ruvuma",1.5-2.5,1.5,2.5,"Anthocyanin colouration: green, Leaf colour: green, Growth habbit: bushy with many branches, Twining tendency: absent, Plant height (cm):40-44, Days to flowering:30-38, Flower colour: pink, Pod colour at maturity: yellow, Seed shape: plumb, Testa texture: smooth, Testa colour: broken white stripes on dark red background, Seed size: medium",,,,,"{""Special Attributes"": ""Tolerant to Halo blight, Drought resistant, Resistant to Anthracnose and bean rust""}"
Bima,https://www.tosci.go.tz/seed-varieties/bima,Bima,Barley (Hordeum vulgare L.),Barley,Hordeum vulgare L.,Barley (Hordeum vulgare L.),1998,TBL,1500-2200,1500.0,2200.0,"Arusha, Manyara",1.0-2.1,1.0,2.1,"Growth type: semi-erect, Colour of leaves: pale green, Size of leaves: small, Tillering: heavy, Spike density: medium lax, Colour of spike at grain filling: pinkish, Plant height: medium, Awns colour: pinkish",,,,,"{""Special Attributes"": ""Very good malting quality, Resistant to powdery mildew, loose and covered smut, Resistant to leaf and stem rusts, Susceptible to net and spot blotches.""}"
Bingwa F1,https://www.tosci.go.tz/seed-varieties/bingwa-f1,Bingwa F1,Eggplant  (Solanum melongena),Eggplant,Solanum melongena,Eggplant  (Solanum melongena),2023,Vetagro (EA) ltd,,,,,,,,,,,,,{}
BLACK BEAUTY,https://www.tosci.go.tz/seed-varieties/black-beauty,BLACK BEAUTY,Eggplant (Solanum melongena  ),Eggplant,Solanum melongena,Eggplant (Solanum melongena  ),2021,TASTA,,,,,,,,,,,,,{}
BLACK GIANT,https://www.tosci.go.tz/seed-varieties/black-giant,BLACK GIANT,Eggplant (Solanum melongena  ),Eggplant,Solanum melongena,Eggplant (Solanum melongena  ),2021,QUTON TANZANIA LTD,,,,,,,,,,,,,{}
BLACK QUEEN F1,https://www.tosci.go.tz/seed-varieties/black-queen-f1,BLACK QUEEN F1,Watermelon  (Citrullus lanatus    ),Watermelon,Citrullus lanatus,Watermelon  (Citrullus lanatus    ),2021,BALTON TANZANIA LTD,,,,,,,,,,,,,{}
BLACK ROCK F1,https://www.tosci.go.tz/seed-varieties/black-rock-f1,BLACK ROCK F1,Egg plant,Egg plant,,Egg plant,2025,ACSEN AGRISCIENCE (TZ) P LTD,,,,,,,,,,,,,{}
BLUE DYNASTY,https://www.tosci.go.tz/seed-varieties/blue-dynasty,BLUE DYNASTY,Cabbage (Brassica oleracea var. capitata  ),Cabbage,Brassica oleracea var. capitata,Cabbage (Brassica oleracea var. capitata  ),2021,Monsanto Tanzania Ltd,,,,,,,,,,,,,{}
BLUE ROCK F1,https://www.tosci.go.tz/seed-varieties/blue-rock-f1,BLUE ROCK F1,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2024,EPINAV Agricultural Solutions,,,,,,,,,,,,,{}
Bluesma,https://www.tosci.go.tz/seed-varieties/bluesma,Bluesma,Cabbage (Brassica oleracea var. capitata),Cabbage,Brassica oleracea var. capitata,Cabbage (Brassica oleracea var. capitata),2023,Epinav Agricultural Solutions,,,,,,,,,,,,,{}
BNS 213,https://www.tosci.go.tz/seed-varieties/bns-213,BNS 213,Buttenut ( Juglans cinerea ),Buttenut,Juglans cinerea,Buttenut ( Juglans cinerea ),2021,AFRICASIA SEED CO LTD,,,,,,,,,,,,,{}
BOELLI,https://www.tosci.go.tz/seed-varieties/boelli,BOELLI,Finnel ( Foeniculum vulgare ),Finnel,Foeniculum vulgare,Finnel ( Foeniculum vulgare ),2021,Rijk Zwaan Afrisem Ltd.,,,,,,,,,,,,,{}
BOLOGNA RZ F1,https://www.tosci.go.tz/seed-varieties/bologna-rz-f1,BOLOGNA RZ F1,Cucumber (Cucumis sativus  ),Cucumber,Cucumis sativus,Cucumber (Cucumis sativus  ),2021,Rijk Zwaan Afrisem Ltd.,,,,,,,,,,,,,{}
BOOGIE RZ F1,https://www.tosci.go.tz/seed-varieties/boogie-rz-f1,BOOGIE RZ F1,Sweet pepper (Capsicum annuum),Sweet pepper,Capsicum annuum,Sweet pepper (Capsicum annuum),2021,Rijk Zwaan Afrisem Ltd.,,,,,,,,,,,,,{}
BOOMER RZ F1,https://www.tosci.go.tz/seed-varieties/boomer-rz-f1,BOOMER RZ F1,Hot pepper (Capsicum annuum ),Hot pepper,Capsicum annuum,Hot pepper (Capsicum annuum ),2021,Rijk Zwaan Afrisem Ltd.,,,,,,,,,,,,,{}
Bora,https://www.tosci.go.tz/seed-varieties/bora,Bora,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2008,ARI Ilonga,0-1000,0.0,1000.0,Morogoro,4.5,4.5,,"Maturity 105 days, Best for the eastern zone and other low land maize growing areas, Days to 50% tasseling:51-52 days, Plant height 180 – 210 cm",51.0,,,,"{""Special Attributes"": ""Tolerant to maize streak virus, leaf blight ang leaf rust""}"
BORA F1,https://www.tosci.go.tz/seed-varieties/bora-f1,BORA F1,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2021,Pop Vriend (T) Ltd,,,,,,,,,,,,,{}
Bossier,https://www.tosci.go.tz/seed-varieties/bossier,Bossier,Soya Bean [Glycine max (L.) Merr.],Soya Bean [Glycine max,L.,Soya Bean [Glycine max (L.) Merr.],1990’s,,800-2000,800.0,2000.0,Areas growing soya bean,,,,,,,,,{}
BR203,https://www.tosci.go.tz/seed-varieties/br203,BR203,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2024,Bora Agro Solutions Ltd,500-1200,500.0,1200.0,low-medium,05-07,5.0,7.0,Inakomaa mapema kwa wastani wa siku 110-120;,,,,,{}
BRIGITTE RZ F1,https://www.tosci.go.tz/seed-varieties/brigitte-rz-f1,BRIGITTE RZ F1,Eubergine (Solanum melongena),Eubergine,Solanum melongena,Eubergine (Solanum melongena),2021,Rijk Zwaan Afrisem Ltd.,,,,,,,,,,,,,{}
BRUMA RZ,https://www.tosci.go.tz/seed-varieties/bruma-rz,BRUMA RZ,Letuce (Lactuca sativa  ),Letuce,Lactuca sativa,Letuce (Lactuca sativa  ),2021,Rijk Zwaan Afrisem Ltd.,,,,,,,,,,,,,{}
BSI 1,https://www.tosci.go.tz/seed-varieties/bsi-1,BSI 1,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),2014,Chareon Pokphand Produce (T) Ltd,900 - 1900,900.0,1900.0,Medium to High Altitude,6.7,6.7,,Maturity: 103 days,,,,,"{""Special Attributes"": ""Higher Carotenoid content,Yellow Kernel coulor,special for animal feed""}"
BUFFALO F1,https://www.tosci.go.tz/seed-varieties/buffalo-f1,BUFFALO F1,Sweet pepper (Capsicum annuum),Sweet pepper,Capsicum annuum,Sweet pepper (Capsicum annuum),2021,Regina Seed Ltd,,,,,,,,,,,,,{}
Bukoba 1,https://www.tosci.go.tz/seed-varieties/bukoba-1,Bukoba 1,Coffee (Coffea arabica),Coffee,Coffea arabica,Coffee (Coffea arabica),2011,TaCRI,900-1700,900.0,1700.0,,2.6-3.1,2.6,3.1,Maturity: First harvest: Two years after planting,,,,,"{""Special Attributes"": ""Resistant to Coffee Wilt Disease, It has a good World market coffee aroma""}"
Bulldozer F1,https://www.tosci.go.tz/seed-varieties/bulldozer-f1,Bulldozer F1,Watermelon (Citrulus lanatus),Watermelon,Citrulus lanatus,Watermelon (Citrulus lanatus),2023,Vetagro EA Ltd,,,,,,,,,,,,,{}
BWT SAFA F1,https://www.tosci.go.tz/seed-varieties/bwt-safa-f1,BWT SAFA F1,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2022,SYOVA SEEDS (T) LTD,,,,,,,,,,,,,{}
C 101 F1 SYNGENTA TANZANIA LTD.,https://www.tosci.go.tz/seed-varieties/c-101-f1-syngenta-tanzania-ltd,C 101 F1 SYNGENTA TANZANIA LTD.,Cabbage (Brassica oleracea var. capitata  ),Cabbage,Brassica oleracea var. capitata,Cabbage (Brassica oleracea var. capitata  ),2021,SYNGENTA TANZANIA LTD.,,,,,,,,,,,,,{}
C5051,https://www.tosci.go.tz/seed-varieties/c5051,C5051,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),1999,Cargill - Zimbabwe,1000 - 1600,1000.0,1600.0,"Morogoro, Iringa, Dodoma",10.0-15.0,10.0,15.0,"Plant height (cm): 240,Leaf orientation: angled and curved,Days to 50% tasseling: 68 (at 1300 m.a.s.l.),Days to 50% silking: 72 (at 1300 m.a.s.l).,Seed or Grain: semi-flint",68.0,,,,"{""Special Attributes"": ""Resistant to blight leaf (Helminthosporium turcicum Pass), leaf rust (Pucinia sorghi), ear rot""}"
C5121,https://www.tosci.go.tz/seed-varieties/c5121,C5121,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),1997,Cargill - Zimbabwe,1000 - 1600,1000.0,1600.0,"Morogoro, Iringa, Dodoma",10.0-15.0,10.0,15.0,"Plant height (cm): medium,Leaf orientation: angled and curved
Days to 50% tasseling: 64 (at 1300 m.a.s.l.),Days to 50% silking: 68 (at 1300 m.a.s.l),Seed or Grain: hard-dent",64.0,,,,"{""Special Attributes"": ""Resistant to blight (Helminthosporium turcicum Pass), leaf rust (Pucinia sorghi), ear rot""}"
C6222,https://www.tosci.go.tz/seed-varieties/c6222,C6222,Maize (Zea mays L.),Maize,Zea mays L.,Maize (Zea mays L.),1994,Cargill Zimbabwe (PTY) Ltd,900 - 1500,900.0,1500.0,Morogoro,10.0-15.0,10.0,15.0,"Leaf orientation: Recurved,Days to 50% flowering: 72 days,Tassel colouration: purple,Days to 50% silking: 72 days,Silk colour: yellow to purple,Seed or Grain :flint",,,,,"{""Special Attributes"": ""Tolerant to ear rot, leaf blight(Helminthosporium turcicum Pass) and leaf rust (Pucinia sorghi)""}"
CA 85FX F1,https://www.tosci.go.tz/seed-varieties/ca-85fx-f1,CA 85FX F1,Cabbage (Brassica oleracea var. capitata  ),Cabbage,Brassica oleracea var. capitata,Cabbage (Brassica oleracea var. capitata  ),2021,AFRICASIA Seed CO. LTD,,,,,,,,,,,,,{}
CAB VICTORIA,https://www.tosci.go.tz/seed-varieties/cab-victoria,CAB VICTORIA,Cabbage (Brassica oleracea var. capitata  ),Cabbage,Brassica oleracea var. capitata,Cabbage (Brassica oleracea var. capitata  ),2021,Monsanto Tanzania Ltd,,,,,,,,,,,,,{}
CAL J,https://www.tosci.go.tz/seed-varieties/cal-j,CAL J,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2021,ULTRAVETIS/EA SEEDS/KIBO SEEDS/POP VRIEND/REGINA SEEDS,,,,,,,,,,,,,{}
CAL J VF,https://www.tosci.go.tz/seed-varieties/cal-j-vf,CAL J VF,Tomato (Solanum lycopersicum),Tomato,Solanum lycopersicum,Tomato (Solanum lycopersicum),2021,East West Seed (T)Limited,,,,,,,,,,,,,{}
CALABRESE,https://www.tosci.go.tz/seed-varieties/calabrese,CALABRESE,Broccoli ( Brassica oleracea var. italica ),Broccoli,Brassica oleracea var. italica,Broccoli ( Brassica oleracea var. italica ),2021,Pop Vriend (T) Ltd.,,,,,,,,,,,,,{}
CALIFONIA WONDER,https://www.tosci.go.tz/seed-varieties/califonia-wonder,CALIFONIA WONDER,Sweet pepper (Capsicum annuum),Sweet pepper,Capsicum annuum,Sweet pepper (Capsicum annuum),2021,TASTA,,,,,,,,,,,,,{}
CALIFORNIA SUPREME,https://www.tosci.go.tz/seed-varieties/california-supreme,CALIFORNIA SUPREME,Sweet pepper (Capsicum annuum),Sweet pepper,Capsicum annuum,Sweet pepper (Capsicum annuum),2021,East African Seeds (T) Ltd,,,,,,,,,,,,,{}
Calima-Uyole,https://www.tosci.go.tz/seed-varieties/calima-uyole,Calima-Uyole,Bean (Phaseolus vulgaris L.),Bean,Phaseolus vulgaris L.,Bean (Phaseolus vulgaris L.),2011,ARI Uyole,100-2000,100.0,2000.0,Medium to High Altitude,2.0 t/ha,2.0,,Maturity- 75-90 days,,,,,"{""Special Attributes"": ""Proposed for release in S. Highland, Resistant to Anthracnose""}"
