variety_name,crop_full,registrant,year,detail_url
P3812W,Maize (Zea mays L.),Pioneer Overseas Corporation,2013,https://www.tosci.go.tz/seed-varieties/p3812w
PAC 501,Sorghum (Sorghum bicolor (L.),Advanta Seed Company,2014,https://www.tosci.go.tz/seed-varieties/pac-501
PAC 537,Sorghum (Sorghum bicolor (L.),Advanta Seed Company,2014,https://www.tosci.go.tz/seed-varieties/pac-537
PAC8577,Paddy (Oryza sativa),Bytrade Tanzania Limited.,2021,https://www.tosci.go.tz/seed-varieties/pac8577
Padma F1,Tomato (Solanum lycopersicum),Continental Seeds Company,2023,https://www.tosci.go.tz/seed-varieties/padma-f1
PAN 15,Maize (Zea mays L.),Pannar Seeds Co. Ltd,2001,https://www.tosci.go.tz/seed-varieties/pan-15
PAN 33,Maize (Zea mays L.),Pannar (Pty) Ltd,2003,https://www.tosci.go.tz/seed-varieties/pan-33
PAN 3M-01,Maize (Zea mays L.),Pannar seed Company (T) Ltd,2012,https://www.tosci.go.tz/seed-varieties/pan-3m-01
PAN 3M-05,Maize (Zea mays L.),CORTEVA AGR.SCIENCE TANZANIA LTD,2022,https://www.tosci.go.tz/seed-varieties/pan-3m-05
PAN 4 M-17,Maize (Zea mays L.),Pannar (Pty) Ltd,2004,https://www.tosci.go.tz/seed-varieties/pan-4-m-17
PAN 4M-11,Maize (Zea mays L.),Corteva Agriscience Tanzania Ltd,2023,https://www.tosci.go.tz/seed-varieties/pan-4m-11
PAN 4M-19,Maize (Zea mays L.),Pannar (Pty) Ltd,2004,https://www.tosci.go.tz/seed-varieties/pan-4m-19
PAN 4M-21,Maize (Zea mays L.),Pannar seed Company (T) Ltd,2012,https://www.tosci.go.tz/seed-varieties/pan-4m-21
PAN 4M-23,Maize (Zea mays L.),PANNAR SEED (PVT) LTD,2019,https://www.tosci.go.tz/seed-varieties/pan-4m-23
PAN 53,Maize (Zea mays L.),Corteva Agriscience Tanzania Ltd,2023,https://www.tosci.go.tz/seed-varieties/pan-53
PAN 5M-35,Maize (Zea mays L.),Pannar seed Company (T) Ltd,2012,https://www.tosci.go.tz/seed-varieties/pan-5m-35
PAN 6195,Maize (Zea mays L.),Pannar Seeds Co.Ltd,1995,https://www.tosci.go.tz/seed-varieties/pan-6195
PAN 6243,Maize (Zea mays L.),Pannar Seed Co. Ltd,1999,https://www.tosci.go.tz/seed-varieties/pan-6243
PAN 63,Maize (Zea mays L.),Pannar (Pty) Ltd,2003,https://www.tosci.go.tz/seed-varieties/pan-63
PAN 6481,Maize (Zea mays L.),Pannar Seeds Co. Ltd,1995,https://www.tosci.go.tz/seed-varieties/pan-6481
PAN 691,Maize (Zea mays L.),Pannar Seeds Co. Ltd,2001,https://www.tosci.go.tz/seed-varieties/pan-691
PAN 695,Maize (Zea mays L.),Pannar Seeds Co.Ltd,1995,https://www.tosci.go.tz/seed-varieties/pan-695
PAN 7352,Sunflower (Helianthus annus L.),Pannar Seed Co.,2002,https://www.tosci.go.tz/seed-varieties/pan-7352
PAN 77,Maize (Zea mays L.),Pannar Seeds Co. Ltd,2001,https://www.tosci.go.tz/seed-varieties/pan-77
PAN 7M-81,Maize (Zea mays L.),PANNAR SEED (PVT) LTD,2019,https://www.tosci.go.tz/seed-varieties/pan-7m-81
PAN 7M-87,Maize (Zea mays L.),CORTEVA AGR.SCIENCS LTD,2022,https://www.tosci.go.tz/seed-varieties/pan-7m-87
PAN 9M-91,Maize,CORTEVA AGRISCIENCE TANZANIA LTD,2025,https://www.tosci.go.tz/seed-varieties/pan-9m-91
PAN6549,Maize (Zea mays L.),Pannar Seeds Co. Ltd,1995,https://www.tosci.go.tz/seed-varieties/pan6549
Panamera,Round Potato (Solanum tuberosum),HZPC IPR B.V,2019,https://www.tosci.go.tz/seed-varieties/panamera
PASARELLA,Sweet pepper (Capsicum annuum),Rijk Zwaan Afrisem Ltd.,2021,https://www.tosci.go.tz/seed-varieties/pasarella
Pasi,Bean (Phaseolus vulgaris L.),ARI Uyole,2012,https://www.tosci.go.tz/seed-varieties/pasi
PATA NEGRA,Watermelon  (Citrullus lanatus    ),MONSANTO TANZANIA LTD,2021,https://www.tosci.go.tz/seed-varieties/pata-negra
Pato,Sorghum (Sorghum bicolor (L.),ARI Ilonga,1997,https://www.tosci.go.tz/seed-varieties/pato
PATO F1,Watermelon  (Citrullus lanatus    ),AGRECHEM AFRICA LTD,2021,https://www.tosci.go.tz/seed-varieties/pato-f1
PD4,Tobacco (Nicotiana tabacum L.),ARI Tumbi,1992,https://www.tosci.go.tz/seed-varieties/pd4
Pendo 98 (Spanish),Ground nut (Arachis hypogeae L.),ARI Naliendele,1998,https://www.tosci.go.tz/seed-varieties/pendo-98-spanish
PERU F1,Sweet pepper (Capsicum annuum),Pop Vriend (T) Ltd.,2021,https://www.tosci.go.tz/seed-varieties/peru-f1
Pesa,Bean (Phaseolus vulgaris L.),SUA,2006,https://www.tosci.go.tz/seed-varieties/pesa
PHB30A15,Maize (Zea mays L.),Pioneer Seed Co. Ltd,1999,https://www.tosci.go.tz/seed-varieties/phb30a15
PHB30G97,Maize (Zea mays L.),Pioneer Seed Co.,2001,https://www.tosci.go.tz/seed-varieties/phb30g97
PHB30H83,Maize (Zea mays L.),Pioneer Seed Co.,2001,https://www.tosci.go.tz/seed-varieties/phb30h83
PHILEX,Squash ( Cucurbita Maxima ),CONTINENTAL SEED,2021,https://www.tosci.go.tz/seed-varieties/philex
PICUS,Tomato (Solanum lycopersicum),MONSANTO TZ LTD,2022,https://www.tosci.go.tz/seed-varieties/picus
Pilot F1,Tomato (Solanum lycopersicum),Agrichem Africa Tanzania Ltd,2024,https://www.tosci.go.tz/seed-varieties/pilot-f1
PK 449,Pumpkin (Cucurbita pepo  ),AFRICASIA Seed CO. LTD,2021,https://www.tosci.go.tz/seed-varieties/pk-449
PK F1,Pumpkin (Cucurbita pepo  ),BALTON TANZANIA LTD,2021,https://www.tosci.go.tz/seed-varieties/pk-f1
PLATO,Sweet pepper (Capsicum annuum),Monsanto Tanzania Ltd,2021,https://www.tosci.go.tz/seed-varieties/plato
